token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
14747,011NSETEST-EQ,011NSETEST,,-1.000000,1,,NSE,5.000000
14751,021NSETEST-EQ,021NSETEST,,-1.000000,1,,NSE,5.000000
14753,031NSETEST-EQ,031NSETEST,,-1.000000,1,,NSE,5.000000
14755,041NSETEST-EQ,041NSETEST,,-1.000000,1,,NSE,5.000000
14758,051NSETEST-EQ,051NSETEST,,-1.000000,1,,NSE,5.000000
14762,061NSETEST-EQ,061NSETEST,,-1.000000,1,,NSE,5.000000
14764,071NSETEST-EQ,071NSETEST,,-1.000000,1,,NSE,5.000000
14767,081NSETEST-EQ,081NSETEST,,-1.000000,1,,NSE,5.000000
14769,091NSETEST-EQ,091NSETEST,,-1.000000,1,,NSE,5.000000
14772,101NSETEST-EQ,101NSETEST,,-1.000000,1,,NSE,5.000000
14774,111NSETEST-EQ,111NSETEST,,-1.000000,1,,NSE,5.000000
12841,11NSETEST-EQ,11NSETEST,,-1.000000,1,,NSE,5.000000
14777,121NSETEST-EQ,121NSETEST,,-1.000000,1,,NSE,5.000000
14778,131NSETEST-EQ,131NSETEST,,-1.000000,1,,NSE,5.000000
14781,141NSETEST-EQ,141NSETEST,,-1.000000,1,,NSE,5.000000
14782,151NSETEST-EQ,151NSETEST,,-1.000000,1,,NSE,5.000000
14784,161NSETEST-EQ,161NSETEST,,-1.000000,1,,NSE,5.000000
23446,171NSETEST-EQ,171NSETEST,,-1.000000,1,,NSE,5.000000
23447,181NSETEST-EQ,181NSETEST,,-1.000000,1,,NSE,5.000000
16921,20MICRONS-EQ,20MICRONS,,-1.000000,1,,NSE,5.000000
13061,360ONE-EQ,360ONE,,-1.000000,1,,NSE,5.000000
6232,3IINFOLTD-EQ,3IINFOLTD,,-1.000000,1,,NSE,1.000000
474,3MINDIA-EQ,3MINDIA,,-1.000000,1,,NSE,5.000000
2595,3PLAND-EQ,3PLAND,,-1.000000,1,,NSE,1.000000
445,5PAISA-EQ,5PAISA,,-1.000000,1,,NSE,5.000000
11868,63MOONS-EQ,63MOONS,,-1.000000,1,,NSE,5.000000
12533,AAATECH-EQ,AAATECH,,-1.000000,1,,NSE,1.000000
23729,AADHARHFC-EQ,AADHARHFC,,-1.000000,1,,NSE,5.000000
5245,AAREYDRUGS-EQ,AAREYDRUGS,,-1.000000,1,,NSE,1.000000
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,5.000000
4481,AARTIDRUGS-EQ,AARTIDRUGS,,-1.000000,1,,NSE,5.000000
7,AARTIIND-EQ,AARTIIND,,-1.000000,1,,NSE,5.000000
13868,AARTIPHARM-EQ,AARTIPHARM,,-1.000000,1,,NSE,5.000000
19233,AARTISURF-EQ,AARTISURF,,-1.000000,1,,NSE,5.000000
19073,AARVI-EQ,AARVI,,-1.000000,1,,NSE,1.000000
5385,AAVAS-EQ,AAVAS,,-1.000000,1,,NSE,5.000000
10,ABAN-EQ,ABAN,,-1.000000,1,,NSE,1.000000
13,ABB-EQ,ABB,,-1.000000,1,,NSE,5.000000
17903,ABBOTINDIA-EQ,ABBOTINDIA,,-1.000000,1,,NSE,5.000000
21614,ABCAPITAL-EQ,ABCAPITAL,,-1.000000,1,,NSE,1.000000
24308,ABDL-EQ,ABDL,,-1.000000,1,,NSE,5.000000
30108,ABFRL-EQ,ABFRL,,-1.000000,1,,NSE,5.000000
24404,ABGSEC-EQ,ABGSEC,,-1.000000,1,,NSE,1.000000
6018,ABSLAMC-EQ,ABSLAMC,,-1.000000,1,,NSE,5.000000
13987,ABSLBANETF-EQ,ABSLBANETF,,-1.000000,1,,NSE,1.000000
14518,ABSLLIQUID-EQ,ABSLLIQUID,,-1.000000,1,,NSE,1.000000
7339,ABSLNN50ET-EQ,ABSLNN50ET,,-1.000000,1,,NSE,1.000000
23806,ABSLPSE-EQ,ABSLPSE,,-1.000000,1,,NSE,1.000000
22,ACC-EQ,ACC,,-1.000000,1,,NSE,5.000000
7053,ACCELYA-EQ,ACCELYA,,-1.000000,1,,NSE,5.000000
13587,ACE-EQ,ACE,,-1.000000,1,,NSE,5.000000
11779,ACEINTEG-EQ,ACEINTEG,,-1.000000,1,,NSE,1.000000
12024,ACI-EQ,ACI,,-1.000000,1,,NSE,5.000000
15420,ACL-EQ,ACL,,-1.000000,1,,NSE,1.000000
13688,ACLGATI-EQ,ACLGATI,,-1.000000,1,,NSE,1.000000
10217,ADANIENSOL-EQ,ADANIENSOL,,-1.000000,1,,NSE,5.000000
25,ADANIENT-EQ,ADANIENT,,-1.000000,1,,NSE,5.000000
3563,ADANIGREEN-EQ,ADANIGREEN,,-1.000000,1,,NSE,5.000000
15083,ADANIPORTS-EQ,ADANIPORTS,,-1.000000,1,,NSE,5.000000
17388,ADANIPOWER-EQ,ADANIPOWER,,-1.000000,1,,NSE,5.000000
